,user_id,data,data_type,length,time
0,1162805024,.,text,1,1750116185
1,1162805024,.,text,1,1750116191
2,1162805024,А,text,1,1750191591
3,1162805024,Приветствую),text,12,1750191610
4,1162805024,Только я сейчас спать хотел уйти),text,33,1750191619
5,1162805024,Реально говорил?),text,17,1750191687
6,1162805024,Легенда,text,7,1750191708
7,1162805024,"Бля, как же понимаю тебя",text,24,1750191756
8,1162805024,Чтоб вы понимали я сегодня в свой выходной на работу выходил,text,60,1750191804
9,1162805024,17,text,2,1750191824
10,1162805024,Лучше не работай пока можешь,text,28,1750191911
11,1162805024,AwACAgIAAyEFAASj_XDDAAJEMGhSknZl5RWWqa8l6VxbM3b8HTswAAIOcgACo2eRSnsfjP1dicnzNgQ,voice,12,1750241910
12,1162805024,Не нада,text,7,1750242223
13,1162805024,"Анлак, у меня выходной)",text,23,1750242722
14,1162805024,AwACAgIAAyEFAASj_XDDAAJEQGhSldrLvWXOGNwEqZi1zC_NhWCLAAJVcgACo2eRSg2g6nxjJNHdNgQ,voice,13,1750242778
15,1162805024,"Не настолько в деньгах нуждаюсь, чтобы почти ьез выходных работать по 13 часов)",text,79,1750242865
16,1162805024,"Понятное дело, но там где я сейчас работаю меня много чего не устраивает",text,72,1750243008
17,1162805024,Бывает),text,7,1750243095
18,1162805024,У меня за это лето трат будет >150к точно,text,41,1750243116
19,1162805024,Привет,text,6,1750243131
20,1162805024,qq!,text,3,1750247350
21,1162805024,"Не, просто цвет дадут выбрать)",text,30,1750261997
22,1162805024,В разных концах города),text,23,1750269007
23,1162805024,"Тебе проще ко мне прийти, у меня должна быть клубника))",text,55,1750269048
24,1162805024,"Как показывает практика, основное время это ночь))",text,50,1750345228
25,1162805024,Всм сдох?,text,9,1750349144
26,1162805024,Ааааа,text,5,1750349177
27,1162805024,Мда..,text,5,1750349217
28,1162805024,Ельцин,text,6,1750407604
29,1162805024,Отвечаю,text,7,1750407609
30,1162805024,Путин,text,5,1750407688
31,1162805024,"Ооо, тема",text,9,1750426390
32,1162805024,Почти так и есть,text,16,1750427311
33,1162805024,Я больше наблюдаю за чатом,text,26,1750427319
34,1162805024,Кто ж меня знает),text,17,1750427371
35,1162805024,Была такая идейка,text,17,1750427439
36,1162805024,Но сервера нормального пока что нету для такого,text,47,1750427457
37,1162805024,?,text,1,1750427481
38,1162805024,Привет,text,6,1750498235
39,1162805024,Пиздец,text,6,1750498284
40,1162805024,"У женьки смена только началась, женька пока живой))",text,51,1750498337
41,1162805024,AwACAgIAAyEFAASj_XDDAAJb_2hWfGrYCJEfiAM7wFFx_DZuOErbAAK9bQAC-lOxSpThqvucthi4NgQ,voice,6,1750498411
42,1162805024,До 3х,text,5,1750498438
43,1162805024,"Да, сегодня пойду к руководству, говорить что через 2 дня я увольняюсь",text,70,1750499699
44,1162805024,Ты ж знаешь какую я звезду нарисую?),text,36,1750519778
45,1162805024,"Не, не сейчас",text,13,1750519792
46,1162805024,Ну она точно не по христиански будет выглядеть),text,47,1750519814
47,1162805024,А ты откуда знаешь?,text,19,1750589393
48,1162805024,"Мда..
Я сегодня вернулся вообще уже утром",text,41,1750622305
49,1162805024,Вроде не все,text,12,1750622319
50,1162805024,Завтра полная смена и послезавтра не пару часов выйти и я свободен,text,66,1750622346
51,1162805024,"Такое чувство, что ты избенаешь любые транспортные средства)",text,60,1750622398
52,1162805024,"Да не, нормально",text,16,1750622423
53,1162805024,Такси есть,text,10,1750622429
54,1162805024,"Ладно, это аргумент)",text,20,1750622494
55,1162805024,Но как по мне гулять лучше всё таки ночью),text,42,1750622506
56,1162805024,ага,text,3,1750622525
57,1162805024,Го во Владимир),text,15,1750622631
58,1162805024,Сразу после выпускного(,text,23,1750622640
59,1162805024,Как раз на последний поезд успеваем,text,35,1750622657
60,1162805024,Около 23 00,text,11,1750622675
61,1162805024,Ща гляну,text,8,1750622680
62,1162805024,"А, нету в 23 00
Проще 2х ночи дождаться и тогда поехать)",text,56,1750622759
63,1162805024,"Кст, @riossaa , может мне всё таки роль переименовать на тех админа?",text,68,1750622923
64,1162805024,Думаю можно,text,11,1750622962
65,1162805024,"Они уже, вы просто не знаете этого",text,34,1750623341
66,1162805024,Я админ мне можно),text,18,1750749227
67,1162805024,Я технический админ),text,20,1750749264
68,1162805024,Да?,text,3,1750796442
69,1162805024,Бля я сижу в черном помещении с затемнеными окнами),text,51,1750796789
70,1162805024,Они далеко,text,10,1750796948
71,1162805024,Метров 15,text,9,1750796955
72,1162805024,DQACAgIAAyEFAASj_XDDAAJsLGhbCsl6Ux1k2PKd1-pYhiFZzFaBAAJ9gQACaoDZSvwCg81X0SUvNgQ,video_note,7,1750797001
73,1162805024,"Хуя ты, у меня только сегодня резы пришли",text,41,1750797028
74,1162805024,80,text,2,1750797045
75,1162805024,С кайфом,text,8,1750828115
76,1162805024,Ага),text,4,1750828142
77,1162805024,Не нада,text,7,1750840190
78,1162805024,AwACAgIAAyEFAASj_XDDAAJtIWhbtyYQAAHNwEl3KdOAkrYMo1fU4gADcQACOJjgSgVZOBD9LYoWNgQ,voice,13,1750841126
